Model,RMSE,Precision@5,Recall@5,F1-score,Training Time,n_components,init,solver,beta_loss,max_iter
NMF_57,0.040857075654550885,0.5055058745838262,0.8876485011267576,0.6441662743315678,308.78841280937195,100,nndsvd,cd,frobenius,200
NMF_58,0.040857457945687195,0.5054508433536031,0.8875563238161338,0.6440973212049883,308.8989293575287,100,nndsvd,cd,frobenius,300
NMF_61,0.04182126735874849,0.5098863605095892,0.8990089342836854,0.6507117956338582,14.139360427856445,100,nndsvd,mu,frobenius,200
NMF_62,0.04182126735874849,0.5098863605095892,0.8990089342836854,0.6507117956338582,14.94791316986084,100,nndsvd,mu,frobenius,300
NMF_63,0.0473584740676789,0.5177503233084776,0.9259783191001121,0.6641491482649985,23.571915864944458,100,nndsvd,mu,kullback-leibler,200
NMF_64,0.0473584740676789,0.5177503233084776,0.9259783191001121,0.6641491482649985,23.747296571731567,100,nndsvd,mu,kullback-leibler,300
NMF_65,0.04109984641754048,0.5075805519632393,0.8920554326159333,0.6470110712467022,25.472650051116943,100,nndsvda,cd,frobenius,200
NMF_66,0.04109984641754048,0.5075805519632393,0.8920554326159333,0.6470110712467022,22.994818925857544,100,nndsvda,cd,frobenius,300
NMF_69,0.041019025224385865,0.5101009823074595,0.8983990812476429,0.6507266356692123,13.806959390640259,100,nndsvda,mu,frobenius,200
NMF_70,0.041019025224385865,0.5101009823074595,0.8983990812476429,0.6507266356692123,14.010727643966675,100,nndsvda,mu,frobenius,300
NMF_71,0.04571107395062396,0.5196764163662878,0.9280019705800537,0.666253972982427,24.878406524658203,100,nndsvda,mu,kullback-leibler,200
NMF_72,0.04571107395062396,0.5196764163662878,0.9280019705800537,0.666253972982427,24.17038631439209,100,nndsvda,mu,kullback-leibler,300
